flow_id,src,dst,path_idx,path_hops,demand_mbps,rate_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
30,0,12,1,q_r1_r3 | q_r3_r13,33.8282,18.9013,4726500,4726500,0,0.00
31,0,12,3,q_r1_r3 | q_r3_r7 | q_r7_r6 | q_r6_r13,33.8282,0.0141,4500,4500,0,0.00
32,0,14,0,q_r1_r5 | q_r5_r15,7.6409,7.6371,1909500,1909500,0,0.00
33,0,15,0,q_r1_r16,6.4807,6.4806,1621500,1621500,0,0.00
34,0,17,2,q_r1_r3 | q_r3_r13 | q_r13_r6 | q_r6_r18,0.0296,0.0233,6000,4500,1500,25.00
35,0,18,0,q_r1_r5 | q_r5_r19,1030.9665,972.7132,243178500,243177000,1500,0.00
36,0,18,2,q_r1_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,1030.9665,49.3860,12348000,12345000,3000,0.02
37,0,18,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r19,1030.9665,8.8646,2217000,2217000,0,0.00
38,0,19,0,q_r1_r20,1506.4139,935.5948,233899500,233893500,6000,0.00
39,0,19,1,q_r1_r10 | q_r10_r9 | q_r9_r20,1506.4139,245.7484,61438500,61437000,1500,0.00
40,0,19,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,1506.4139,249.5073,62377500,62373000,4500,0.01
41,0,19,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,1506.4139,75.5635,18891000,18889500,1500,0.01
42,0,21,1,q_r1_r5 | q_r5_r19 | q_r19_r22,0.6048,0.1783,45000,43500,1500,3.33
43,0,21,2,q_r1_r3 | q_r3_r7 | q_r7_r22,0.6048,0.4250,106500,105000,1500,1.41
44,1,0,1,q_r2_r7 | q_r7_r3 | q_r3_r1,11.3804,8.0398,2010000,2010000,0,0.00
45,1,0,2,q_r2_r7 | q_r7_r5 | q_r5_r1,11.3804,3.3333,834000,834000,0,0.00
46,1,2,0,q_r2_r7 | q_r7_r3,4.5906,4.4961,1125000,1125000,0,0.00
47,1,2,3,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r3,4.5906,0.0851,22500,22500,0,0.00
48,1,3,1,q_r2_r7 | q_r7_r5 | q_r5_r4,0.3089,0.2996,75000,75000,0,0.00
49,1,4,0,q_r2_r15 | q_r15_r5,23.7470,0.8035,201000,201000,0,0.00
50,1,4,1,q_r2_r7 | q_r7_r5,23.7470,22.9434,5736000,5736000,0,0.00
51,1,5,0,q_r2_r7 | q_r7_r6,0.5106,0.2688,67500,67500,0,0.00
52,1,5,3,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r6,0.5106,0.2418,61500,61500,0,0.00
53,1,6,0,q_r2_r7,19.1003,17.7642,4441500,4441500,0,0.00
54,1,6,2,q_r2_r15 | q_r15_r5 | q_r5_r7,19.1003,1.2477,312000,312000,0,0.00
55,1,6,3,q_r2_r15 | q_r15_r22 | q_r22_r7,19.1003,0.0885,22500,22500,0,0.00
56,1,9,0,q_r2_r15 | q_r15_r5 | q_r5_r1 | q_r1_r10,86.7939,0.0525,13500,12000,1500,11.11
57,1,9,1,q_r2_r7 | q_r7_r3 | q_r3_r1 | q_r1_r10,86.7939,59.8537,14964000,14964000,0,0.00
58,1,9,2,q_r2_r7 | q_r7_r5 | q_r5_r1 | q_r1_r10,86.7939,26.8876,6723000,6723000,0,0.00
59,1,10,1,q_r2_r7 | q_r7_r22 | q_r22_r11,0.0538,0.0166,4500,4500,0,0.00
60,1,10,2,q_r2_r15 | q_r15_r22 | q_r22_r11,0.0538,0.0124,4500,4500,0,0.00
61,1,10,3,q_r2_r7 | q_r7_r5 | q_r5_r11,0.0538,0.0243,7500,7500,0,0.00
62,1,11,0,q_r2_r15 | q_r15_r12,0.4574,0.2140,54000,18000,36000,66.67
63,1,11,1,q_r2_r7 | q_r7_r22 | q_r22_r15 | q_r15_r12,0.4574,0.0235,6000,1500,4500,75.00
64,1,11,2,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r12,0.4574,0.1226,31500,7500,24000,76.19
65,1,11,3,q_r2_r7 | q_r7_r3 | q_r3_r13 | q_r13_r12,0.4574,0.0973,25500,1500,24000,94.12
66,1,12,1,q_r2_r7 | q_r7_r3 | q_r3_r13,0.0214,0.0210,6000,6000,0,0.00
67,1,13,0,q_r2_r14,0.2654,0.0310,9000,9000,0,0.00
68,1,13,1,q_r2_r7 | q_r7_r14,0.2654,0.1517,39000,39000,0,0.00
69,1,13,2,q_r2_r15 | q_r15_r5 | q_r5_r7 | q_r7_r14,0.2654,0.0799,21000,21000,0,0.00
70,1,14,0,q_r2_r15,7.7459,7.7270,1932000,1932000,0,0.00
71,1,14,2,q_r2_r7 | q_r7_r5 | q_r5_r15,7.7459,0.0137,4500,3000,1500,33.33
72,1,15,0,q_r2_r15 | q_r15_r22 | q_r22_r16,3.7371,1.3652,342000,342000,0,0.00
73,1,15,1,q_r2_r7 | q_r7_r22 | q_r22_r16,3.7371,2.3717,594000,592500,1500,0.25
74,1,16,0,q_r2_r15 | q_r15_r5 | q_r5_r19 | q_r19_r17,40.2151,3.2449,811500,811500,0,0.00
75,1,16,1,q_r2_r7 | q_r7_r22 | q_r22_r19 | q_r19_r17,40.2151,30.1501,7539000,7536000,3000,0.04
76,1,16,2,q_r2_r15 | q_r15_r22 | q_r22_r19 | q_r19_r17,40.2151,6.0037,1501500,1501500,0,0.00
77,1,16,3,q_r2_r7 | q_r7_r5 | q_r5_r19 | q_r19_r17,40.2151,0.8164,205500,204000,1500,0.73
78,1,17,0,q_r2_r15 | q_r15_r22 | q_r22_r18,8.5402,1.2561,315000,315000,0,0.00
79,1,17,1,q_r2_r7 | q_r7_r22 | q_r22_r18,8.5402,3.9456,987000,985500,1500,0.15
80,1,17,2,q_r2_r7 | q_r7_r6 | q_r6_r18,8.5402,3.3385,835500,834000,1500,0.18
81,1,18,0,q_r2_r15 | q_r15_r5 | q_r5_r19,157.8202,6.0505,1513500,1512000,1500,0.10
82,1,18,1,q_r2_r7 | q_r7_r22 | q_r22_r19,157.8202,35.9992,9000000,8998500,1500,0.02
83,1,18,2,q_r2_r15 | q_r15_r22 | q_r22_r19,157.8202,35.4916,8874000,8872500,1500,0.02
84,1,18,3,q_r2_r7 | q_r7_r5 | q_r5_r19,157.8202,80.2789,20070000,20068500,1500,0.01
85,1,21,0,q_r2_r15 | q_r15_r22,1.8493,0.4985,126000,124500,1500,1.19
86,1,21,1,q_r2_r7 | q_r7_r22,1.8493,1.3507,339000,337500,1500,0.44
87,2,0,0,q_r3_r1,5422.9394,2848.4962,712125000,712116000,9000,0.00
88,2,0,1,q_r3_r13 | q_r13_r5 | q_r5_r1,5422.9394,1030.2259,257557500,257553000,4500,0.00
89,2,0,2,q_r3_r7 | q_r7_r5 | q_r5_r1,5422.9394,1454.2224,363556500,363550500,6000,0.00
90,2,0,3,q_r3_r13 | q_r13_r8 | q_r8_r5 | q_r5_r1,5422.9394,89.9950,22500000,22498500,1500,0.01
91,2,1,0,q_r3_r7 | q_r7_r2,3.1297,1.5994,400500,400500,0,0.00
92,2,1,2,q_r3_r13 | q_r13_r12 | q_r12_r15 | q_r15_r2,3.1297,0.0786,21000,3000,18000,85.71
93,2,1,3,q_r3_r7 | q_r7_r22 | q_r22_r15 | q_r15_r2,3.1297,1.4475,363000,361500,1500,0.41
94,2,3,0,q_r3_r13 | q_r13_r5 | q_r5_r4,1.2277,0.2128,54000,54000,0,0.00
95,2,3,1,q_r3_r7 | q_r7_r5 | q_r5_r4,1.2277,0.3862,97500,97500,0,0.00
96,2,3,2,q_r3_r1 | q_r1_r5 | q_r5_r4,1.2277,0.6121,154500,154500,0,0.00
97,2,3,3,q_r3_r13 | q_r13_r8 | q_r8_r5 | q_r5_r4,1.2277,0.0166,4500,4500,0,0.00
98,2,4,0,q_r3_r13 | q_r13_r5,1779.2742,455.0473,113763000,113761500,1500,0.00
99,2,4,1,q_r3_r7 | q_r7_r5,1779.2742,581.4295,145357500,145356000,1500,0.00
100,2,4,2,q_r3_r1 | q_r1_r5,1779.2742,739.5538,184888500,184887000,1500,0.00
101,2,4,3,q_r3_r13 | q_r13_r8 | q_r8_r5,1779.2742,3.2436,811500,811500,0,0.00
102,2,5,0,q_r3_r13 | q_r13_r6,4955.6211,1856.6721,464169000,464161500,7500,0.00
103,2,5,1,q_r3_r7 | q_r7_r6,4955.6211,2127.8486,531963000,531952500,10500,0.00
104,2,5,2,q_r3_r13 | q_r13_r5 | q_r5_r7 | q_r7_r6,4955.6211,555.0965,138775500,138772500,3000,0.00
105,2,5,3,q_r3_r1 | q_r1_r5 | q_r5_r13 | q_r13_r6,4955.6211,416.0040,104002500,103999500,3000,0.00
106,2,6,0,q_r3_r7,2618.3429,1371.7846,342946500,342945000,1500,0.00
107,2,6,1,q_r3_r13 | q_r13_r6 | q_r6_r7,2618.3429,165.5712,41394000,41392500,1500,0.00
108,2,6,2,q_r3_r1 | q_r1_r5 | q_r5_r7,2618.3429,318.3497,79588500,79585500,3000,0.00
109,2,6,3,q_r3_r13 | q_r13_r5 | q_r5_r7,2618.3429,762.6373,190660500,190657500,3000,0.00
110,2,7,0,q_r3_r13 | q_r13_r8,0.3869,0.3266,82500,82500,0,0.00
111,2,7,2,q_r3_r13 | q_r13_r5 | q_r5_r8,0.3869,0.0358,9000,9000,0,0.00
112,2,7,3,q_r3_r1 | q_r1_r5 | q_r5_r8,0.3869,0.0188,6000,6000,0,0.00
113,2,8,0,q_r3_r1 | q_r1_r20 | q_r20_r9,0.1857,0.1566,40500,40500,0,0.00
114,2,8,2,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r20 | q_r20_r9,0.1857,0.0105,3000,3000,0,0.00
115,2,8,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r20 | q_r20_r9,0.1857,0.0162,4500,3000,1500,33.33
116,2,9,0,q_r3_r1 | q_r1_r10,34.3760,33.9472,8487000,8487000,0,0.00
117,2,9,1,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r10,34.3760,0.1138,28500,27000,1500,5.26
118,2,9,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r10,34.3760,0.3150,79500,79500,0,0.00
119,2,10,0,q_r3_r13 | q_r13_r5 | q_r5_r11,2.9759,0.2044,52500,51000,1500,2.86
120,2,10,1,q_r3_r7 | q_r7_r22 | q_r22_r11,2.9759,0.5321,133500,133500,0,0.00
121,2,10,2,q_r3_r1 | q_r1_r5 | q_r5_r11,2.9759,0.8462,213000,213000,0,0.00
122,2,10,3,q_r3_r7 | q_r7_r5 | q_r5_r11,2.9759,1.3933,349500,349500,0,0.00
123,2,11,0,q_r3_r13 | q_r13_r12,2.6419,0.1841,46500,4500,42000,90.32
124,2,11,1,q_r3_r7 | q_r7_r22 | q_r22_r15 | q_r15_r12,2.6419,0.4446,112500,22500,90000,80.00
125,2,11,2,q_r3_r13 | q_r13_r5 | q_r5_r15 | q_r15_r12,2.6419,0.6232,156000,49500,106500,68.27
126,2,11,3,q_r3_r1 | q_r1_r5 | q_r5_r13 | q_r13_r12,2.6419,1.3900,348000,61500,286500,82.33
127,2,12,0,q_r3_r13,0.6804,0.6772,169500,168000,1500,0.88
128,2,13,0,q_r3_r7 | q_r7_r14,0.7384,0.2340,60000,58500,1500,2.50
129,2,13,1,q_r3_r7 | q_r7_r2 | q_r2_r14,0.7384,0.1606,40500,40500,0,0.00
130,2,13,2,q_r3_r13 | q_r13_r6 | q_r6_r7 | q_r7_r14,0.7384,0.1245,31500,30000,1500,4.76
131,2,13,3,q_r3_r13 | q_r13_r5 | q_r5_r7 | q_r7_r14,0.7384,0.2194,55500,54000,1500,2.70
132,2,14,0,q_r3_r13 | q_r13_r12 | q_r12_r15,156.8139,28.8647,7216500,969000,6247500,86.57
133,2,14,1,q_r3_r7 | q_r7_r22 | q_r22_r15,156.8139,0.5565,139500,139500,0,0.00
134,2,14,2,q_r3_r13 | q_r13_r5 | q_r5_r15,156.8139,80.9441,20236500,20235000,1500,0.01
135,2,14,3,q_r3_r1 | q_r1_r5 | q_r5_r15,156.8139,46.4486,11613000,11613000,0,0.00
136,2,15,0,q_r3_r1 | q_r1_r16,3.1167,0.9762,244500,244500,0,0.00
137,2,15,1,q_r3_r7 | q_r7_r22 | q_r22_r16,3.1167,0.5859,147000,145500,1500,1.02
138,2,15,2,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r16,3.1167,0.6773,169500,168000,1500,0.88
139,2,15,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r16,3.1167,0.8772,220500,219000,1500,0.68
140,2,17,0,q_r3_r13 | q_r13_r6 | q_r6_r18,80.3451,47.0340,11760000,11757000,3000,0.03
141,2,17,1,q_r3_r7 | q_r7_r22 | q_r22_r18,80.3451,19.3422,4836000,4834500,1500,0.03
142,2,17,2,q_r3_r7 | q_r7_r6 | q_r6_r18,80.3451,13.9686,3493500,3492000,1500,0.04
143,2,18,0,q_r3_r13 | q_r13_r5 | q_r5_r19,2625.8541,412.5401,103135500,103132500,3000,0.00
144,2,18,1,q_r3_r7 | q_r7_r22 | q_r22_r19,2625.8541,531.6848,132922500,132918000,4500,0.00
145,2,18,2,q_r3_r1 | q_r1_r5 | q_r5_r19,2625.8541,838.5386,209635500,209626500,9000,0.00
146,2,18,3,q_r3_r7 | q_r7_r5 | q_r5_r19,2625.8541,843.0906,210774000,210768000,6000,0.00
147,2,19,0,q_r3_r1 | q_r1_r20,3.0246,0.4168,105000,105000,0,0.00
148,2,19,1,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r20,3.0246,0.4361,109500,108000,1500,1.37
149,2,19,2,q_r3_r1 | q_r1_r10 | q_r10_r9 | q_r9_r20,3.0246,1.7454,436500,436500,0,0.00
150,2,19,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r20,3.0246,0.4263,108000,106500,1500,1.39
151,2,20,0,q_r3_r1 | q_r1_r10 | q_r10_r21,1.1167,0.5639,141000,139500,1500,1.06
152,2,20,1,q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21,1.1167,0.0930,24000,22500,1500,6.25
153,2,20,2,q_r3_r1 | q_r1_r5 | q_r5_r4 | q_r4_r21,1.1167,0.1060,27000,25500,1500,5.56
154,2,20,3,q_r3_r7 | q_r7_r5 | q_r5_r4 | q_r4_r21,1.1167,0.3538,88500,87000,1500,1.69
155,2,21,0,q_r3_r7 | q_r7_r22,13.9311,13.6239,3406500,3405000,1500,0.04
156,2,21,3,q_r3_r13 | q_r13_r12 | q_r12_r15 | q_r15_r22,13.9311,0.3060,78000,12000,66000,84.62
157,3,0,0,q_r4_r5 | q_r5_r1,49.6382,47.0511,11763000,11763000,0,0.00
158,3,0,2,q_r4_r5 | q_r5_r13 | q_r13_r3 | q_r3_r1,49.6382,0.0180,6000,4500,1500,25.00
159,3,0,3,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r1,49.6382,2.5607,640500,640500,0,0.00
160,3,1,0,q_r4_r5 | q_r5_r7 | q_r7_r2,0.0504,0.0213,6000,6000,0,0.00
161,3,1,1,q_r4_r5 | q_r5_r15 | q_r15_r2,0.0504,0.0286,7500,7500,0,0.00
162,3,2,0,q_r4_r5 | q_r5_r13 | q_r13_r3,0.6522,0.0188,6000,6000,0,0.00
163,3,2,1,q_r4_r5 | q_r5_r7 | q_r7_r3,0.6522,0.1319,33000,33000,0,0.00
164,3,2,2,q_r4_r5 | q_r5_r1 | q_r1_r3,0.6522,0.5014,126000,126000,0,0.00
165,3,4,0,q_r4_r5,15.6764,15.6751,3919500,3919500,0,0.00
166,3,5,0,q_r4_r5 | q_r5_r13 | q_r13_r6,0.5136,0.3768,94500,94500,0,0.00
167,3,5,1,q_r4_r5 | q_r5_r7 | q_r7_r6,0.5136,0.0906,24000,24000,0,0.00
168,3,5,3,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r7 | q_r7_r6,0.5136,0.0462,12000,12000,0,0.00
169,3,6,0,q_r4_r5 | q_r5_r7,1.3908,1.2696,318000,318000,0,0.00
170,3,6,1,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r7,1.3908,0.1173,30000,30000,0,0.00
171,3,8,1,q_r4_r5 | q_r5_r1 | q_r1_r20 | q_r20_r9,0.0459,0.0307,9000,9000,0,0.00
172,3,8,2,q_r4_r5 | q_r5_r1 | q_r1_r10 | q_r10_r9,0.0459,0.0105,3000,3000,0,0.00
173,3,9,0,q_r4_r21 | q_r21_r10,9.1258,4.0022,1002000,1002000,0,0.00
174,3,9,1,q_r4_r5 | q_r5_r1 | q_r1_r10,9.1258,4.7196,1180500,1180500,0,0.00
175,3,9,2,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r1 | q_r1_r10,9.1258,0.4003,100500,100500,0,0.00
176,3,12,0,q_r4_r5 | q_r5_r13,1.5182,1.5083,378000,378000,0,0.00
177,3,13,0,q_r4_r5 | q_r5_r7 | q_r7_r14,0.3137,0.1624,42000,40500,1500,3.57
178,3,13,1,q_r4_r5 | q_r5_r15 | q_r15_r2 | q_r2_r14,0.3137,0.0877,22500,21000,1500,6.67
179,3,13,2,q_r4_r5 | q_r5_r7 | q_r7_r2 | q_r2_r14,0.3137,0.0494,13500,12000,1500,11.11
180,3,13,3,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r7 | q_r7_r14,0.3137,0.0142,4500,4500,0,0.00
181,3,14,0,q_r4_r5 | q_r5_r15,31.6818,31.4116,7854000,7852500,1500,0.02
182,3,14,1,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r15,31.6818,0.2261,57000,57000,0,0.00
183,3,14,2,q_r4_r5 | q_r5_r13 | q_r13_r12 | q_r12_r15,31.6818,0.0138,4500,0,4500,100.00
184,3,14,3,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r15,31.6818,0.0303,9000,9000,0,0.00
185,3,15,0,q_r4_r5 | q_r5_r1 | q_r1_r16,1.0624,0.1763,45000,43500,1500,3.33
186,3,15,1,q_r4_r21 | q_r21_r10 | q_r10_r1 | q_r1_r16,1.0624,0.0556,15000,15000,0,0.00
187,3,15,2,q_r4_r5 | q_r5_r19 | q_r19_r22 | q_r22_r16,1.0624,0.8302,208500,207000,1500,0.72
188,3,18,0,q_r4_r17 | q_r17_r19,8.0569,1.1767,295500,295500,0,0.00
189,3,18,1,q_r4_r5 | q_r5_r19,8.0569,6.5757,1644000,1642500,1500,0.09
190,3,18,2,q_r4_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,8.0569,0.3022,76500,75000,1500,1.96
191,3,19,0,q_r4_r5 | q_r5_r1 | q_r1_r20,7.4617,5.0086,1252500,1251000,1500,0.12
192,3,19,1,q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,7.4617,0.1332,34500,34500,0,0.00
193,3,19,2,q_r4_r21 | q_r21_r10 | q_r10_r1 | q_r1_r20,7.4617,0.6656,166500,165000,1500,0.90
194,3,19,3,q_r4_r5 | q_r5_r13 | q_r13_r3 | q_r3_r1 | q_r1_r20,7.4617,1.6542,414000,412500,1500,0.36
195,3,21,0,q_r4_r17 | q_r17_r19 | q_r19_r22,0.3101,0.1225,31500,31500,0,0.00
196,3,21,1,q_r4_r5 | q_r5_r19 | q_r19_r22,0.3101,0.0128,4500,3000,1500,33.33
197,3,21,3,q_r4_r5 | q_r5_r15 | q_r15_r22,0.3101,0.1686,43500,42000,1500,3.45
198,4,0,0,q_r5_r1,529.8811,529.8227,132456000,132456000,0,0.00
199,4,0,1,q_r5_r13 | q_r13_r3 | q_r3_r1,529.8811,0.0243,7500,6000,1500,20.00
200,4,0,2,q_r5_r7 | q_r7_r3 | q_r3_r1,529.8811,0.0341,9000,7500,1500,16.67
201,4,1,0,q_r5_r7 | q_r7_r2,58.2725,25.5471,6387000,6387000,0,0.00
202,4,1,1,q_r5_r15 | q_r15_r2,58.2725,32.7245,8182500,8182500,0,0.00
203,4,2,0,q_r5_r13 | q_r13_r3,97.7687,2.3951,600000,600000,0,0.00
204,4,2,1,q_r5_r7 | q_r7_r3,97.7687,18.2058,4552500,4552500,0,0.00
205,4,2,2,q_r5_r1 | q_r1_r3,97.7687,77.1678,19293000,19293000,0,0.00
206,4,3,0,q_r5_r4,234.6840,234.6834,58671000,58671000,0,0.00
207,4,5,0,q_r5_r13 | q_r13_r6,152.6529,123.9372,30985500,30984000,1500,0.00
208,4,5,1,q_r5_r7 | q_r7_r6,152.6529,28.6704,7168500,7168500,0,0.00
209,4,5,3,q_r5_r13 | q_r13_r3 | q_r3_r7 | q_r7_r6,152.6529,0.0453,12000,12000,0,0.00
210,4,6,0,q_r5_r7,128.3811,125.5070,31377000,31377000,0,0.00
211,4,6,3,q_r5_r13 | q_r13_r3 | q_r3_r7,128.3811,2.8671,717000,717000,0,0.00
212,4,7,0,q_r5_r8,118.7981,79.5413,19885500,19885500,0,0.00
213,4,7,1,q_r5_r13 | q_r13_r8,118.7981,39.2546,9814500,9814500,0,0.00
214,4,8,0,q_r5_r1 | q_r1_r20 | q_r20_r9,3.5589,2.2183,555000,555000,0,0.00
215,4,8,1,q_r5_r1 | q_r1_r10 | q_r10_r9,3.5589,0.7203,181500,181500,0,0.00
216,4,8,2,q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,3.5589,0.5272,132000,132000,0,0.00
217,4,8,3,q_r5_r13 | q_r13_r3 | q_r3_r1 | q_r1_r20 | q_r20_r9,3.5589,0.0931,24000,22500,1500,6.25
218,4,9,0,q_r5_r1 | q_r1_r10,65.7160,40.5038,10126500,10126500,0,0.00
219,4,9,1,q_r5_r4 | q_r4_r21 | q_r21_r10,65.7160,25.2010,6301500,6301500,0,0.00
220,4,9,3,q_r5_r13 | q_r13_r3 | q_r3_r1 | q_r1_r10,65.7160,0.0112,3000,3000,0,0.00
221,4,10,0,q_r5_r11,5.3099,5.0146,1254000,1254000,0,0.00
222,4,10,1,q_r5_r19 | q_r19_r22 | q_r22_r11,5.3099,0.2808,70500,70500,0,0.00
223,4,10,2,q_r5_r7 | q_r7_r22 | q_r22_r11,5.3099,0.0141,4500,4500,0,0.00
224,4,11,0,q_r5_r13 | q_r13_r12,281.3824,136.2445,34062000,5940000,28122000,82.56
225,4,11,1,q_r5_r15 | q_r15_r12,281.3824,139.4775,34870500,12115500,22755000,65.26
226,4,11,2,q_r5_r8 | q_r8_r13 | q_r13_r12,281.3824,1.9809,496500,91500,405000,81.57
227,4,11,3,q_r5_r19 | q_r19_r22 | q_r22_r15 | q_r15_r12,281.3824,3.6796,921000,264000,657000,71.34
228,4,12,0,q_r5_r13,35.7896,35.7895,8947500,8947500,0,0.00
229,4,13,0,q_r5_r7 | q_r7_r14,0.7764,0.4921,124500,124500,0,0.00
230,4,13,1,q_r5_r15 | q_r15_r2 | q_r2_r14,0.7764,0.1829,46500,46500,0,0.00
231,4,13,2,q_r5_r7 | q_r7_r2 | q_r2_r14,0.7764,0.1013,25500,25500,0,0.00
232,4,14,0,q_r5_r15,74.6353,74.4300,18609000,18607500,1500,0.01
233,4,14,3,q_r5_r7 | q_r7_r22 | q_r22_r15,74.6353,0.1988,51000,51000,0,0.00
234,4,15,0,q_r5_r1 | q_r1_r16,57.4447,8.7345,2184000,2184000,0,0.00
235,4,15,1,q_r5_r19 | q_r19_r22 | q_r22_r16,57.4447,37.8483,9463500,9462000,1500,0.02
236,4,15,2,q_r5_r7 | q_r7_r22 | q_r22_r16,57.4447,1.9987,501000,501000,0,0.00
237,4,15,3,q_r5_r15 | q_r15_r22 | q_r22_r16,57.4447,8.8633,2217000,2217000,0,0.00
238,4,16,0,q_r5_r19 | q_r19_r17,1.6606,1.1315,283500,283500,0,0.00
239,4,16,1,q_r5_r4 | q_r4_r17,1.6606,0.3924,99000,99000,0,0.00
240,4,16,2,q_r5_r7 | q_r7_r22 | q_r22_r19 | q_r19_r17,1.6606,0.1355,34500,34500,0,0.00
241,4,17,0,q_r5_r13 | q_r13_r6 | q_r6_r18,16.5637,5.6149,1404000,1404000,0,0.00
