src,dst,demand_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
6,5,34.0183,8505000,8505000,0,0.00
6,7,7.6092,1905000,1905000,0,0.00
6,8,0.8725,220500,220500,0,0.00
6,9,0.5988,151500,151500,0,0.00
6,10,0.1177,30000,30000,0,0.00
6,11,1.0772,271500,40500,231000,85.08
6,12,4.1318,1035000,1035000,0,0.00
6,13,0.6526,166500,165000,1500,0.90
6,14,507.8288,126960000,126954000,6000,0.00
6,15,8.8196,2206500,2205000,1500,0.07
6,16,8.6488,2163000,2160000,3000,0.14
6,17,1.6406,411000,411000,0,0.00
6,18,48.3809,12097500,12096000,1500,0.01
6,19,5.3992,1353000,1351500,1500,0.11
6,20,3.0286,757500,754500,3000,0.40
6,21,19.2219,4806000,4806000,0,0.00
7,0,61.1644,15294000,15291000,3000,0.02
7,1,2.1914,550500,439500,111000,20.16
7,2,23.5212,5883000,5881500,1500,0.03
7,3,1.2012,304500,295500,9000,2.96
7,4,3404.1970,851050500,798252000,52798500,6.20
7,5,3.2709,820500,820500,0,0.00
7,6,3.7244,933000,933000,0,0.00
7,8,2.5386,637500,633000,4500,0.71
7,9,47.8476,11965500,11958000,7500,0.06
7,10,0.0607,15000,12000,3000,20.00
7,11,2.6539,666000,130500,535500,80.41
7,12,6.8268,1707000,1704000,3000,0.18
7,13,0.0547,13500,9000,4500,33.33
7,14,10.5737,2646000,1275000,1371000,51.81
7,15,11.9988,3003000,2997000,6000,0.20
7,16,0.4694,121500,115500,6000,4.94
7,17,10.1919,2550000,2544000,6000,0.24
7,18,90.4504,22615500,22609500,6000,0.03
7,19,4.4531,1116000,1110000,6000,0.54
7,20,0.1719,46500,40500,6000,12.90
7,21,324.2523,81066000,81058500,7500,0.01
8,0,1198.7203,299682000,299671500,10500,0.00
8,2,8.9160,2232000,2230500,1500,0.07
8,4,139.7605,34942500,34941000,1500,0.00
8,6,0.2995,79500,79500,0,0.00
8,7,0.0873,25500,25500,0,0.00
8,9,315.1640,78792000,78790500,1500,0.00
8,13,0.0765,19500,18000,1500,7.69
8,14,0.7757,196500,195000,1500,0.76
8,15,3.2912,825000,822000,3000,0.36
8,17,0.1605,40500,37500,3000,7.41
8,18,27.8585,6964500,6960000,4500,0.06
8,19,24.6029,6153000,6148500,4500,0.07
8,21,0.1500,39000,36000,3000,7.69
9,0,3199.0989,799776000,799771500,4500,0.00
9,1,2.6582,667500,664500,3000,0.45
9,2,19.6725,4918500,4918500,0,0.00
9,4,425.2596,106315500,106314000,1500,0.00
9,5,0.2790,73500,73500,0,0.00
9,6,1.0212,256500,256500,0,0.00
9,7,0.3699,96000,93000,3000,3.12
9,8,377.0384,94263000,94260000,3000,0.00
9,10,0.0619,18000,15000,3000,16.67
9,13,0.6088,156000,150000,6000,3.85
9,14,23.6364,5910000,5905500,4500,0.08
9,15,6.9851,1749000,1746000,3000,0.17
9,16,0.2871,75000,72000,3000,4.00
9,17,0.5295,135000,130500,4500,3.33
9,18,60.5070,15129000,15126000,3000,0.02
9,19,11.7025,2931000,2926500,4500,0.15
9,20,31.9191,7981500,7977000,4500,0.06
9,21,0.9650,241500,238500,3000,1.24
10,0,2.1841,544500,544500,0,0.00
10,1,0.6474,165000,163500,1500,0.91
10,2,12.8673,3219000,3217500,1500,0.05
10,3,0.1010,27000,27000,0,0.00
10,4,24.4869,6126000,6126000,0,0.00
10,5,2.3929,600000,600000,0,0.00
10,6,2.2333,559500,559500,0,0.00
10,7,0.3142,81000,81000,0,0.00
10,9,0.9093,228000,226500,1500,0.66
10,11,0.1626,43500,7500,36000,82.76
10,12,0.5634,141000,139500,1500,1.06
10,14,16.9321,4233000,4221000,12000,0.28
10,15,3.8062,955500,951000,4500,0.47
10,16,11.9361,2986500,2982000,4500,0.15
10,18,20.7250,5185500,5178000,7500,0.14
10,20,0.0843,22500,19500,3000,13.33
10,21,0.3717,93000,91500,1500,1.61
11,0,18.3645,4590000,4395000,195000,4.25
11,1,0.0345,4500,4500,0,0.00
11,2,4.4913,1126500,849000,277500,24.63
11,4,232.4141,58107000,47263500,10843500,18.66
11,5,0.9288,235500,150000,85500,36.31
11,6,0.3545,88500,63000,25500,28.81
11,7,0.0828,22500,19500,3000,13.33
11,8,0.0843,21000,12000,9000,42.86
11,9,5.3814,1345500,1281000,64500,4.79
11,12,5.9649,1491000,990000,501000,33.60
11,14,9.8348,2461500,1756500,705000,28.64
11,15,4.8850,1225500,900000,325500,26.56
11,18,2.8860,721500,556500,165000,22.87
11,21,6.3935,1602000,1348500,253500,15.82
12,0,65.0411,16263000,16261500,1500,0.01
12,1,8.4886,2125500,2116500,9000,0.42
12,2,62.8286,15708000,15708000,0,0.00
12,3,0.8043,202500,202500,0,0.00
12,4,453.9863,113500500,113481000,19500,0.02
12,5,131.7916,32947500,32947500,0,0.00
12,6,6.0950,1525500,1525500,0,0.00
12,7,0.9598,240000,240000,0,0.00
12,8,4.1279,1035000,1035000,0,0.00
12,9,4.3891,1099500,1099500,0,0.00
12,10,1.6996,426000,426000,0,0.00
12,11,1.5719,393000,96000,297000,75.57
12,13,0.2593,67500,66000,1500,2.22
12,14,131.0512,32764500,4852500,27912000,85.19
12,15,5.7809,1449000,1446000,3000,0.21
12,17,9.9939,2502000,2346000,156000,6.24
12,18,49.7327,12435000,12414000,21000,0.17
12,19,0.9671,244500,240000,4500,1.84
12,20,0.6288,159000,156000,3000,1.89
12,21,30.3550,7593000,6933000,660000,8.69
13,0,0.1296,33000,33000,0,0.00
13,1,0.3286,82500,82500,0,0.00
13,2,0.6973,178500,178500,0,0.00
13,3,0.2278,60000,60000,0,0.00
13,4,106.8526,26716500,26713500,3000,0.01
13,5,0.0998,24000,24000,0,0.00
13,6,0.7054,178500,178500,0,0.00
13,7,0.0792,21000,21000,0,0.00
13,8,0.1298,33000,33000,0,0.00
13,9,0.6453,159000,157500,1500,0.94
13,12,0.5398,133500,130500,3000,2.25
13,14,0.4670,117000,114000,3000,2.56
13,15,0.0364,13500,12000,1500,11.11
13,16,0.1885,49500,45000,4500,9.09
13,18,0.8261,211500,205500,6000,2.84
13,19,0.2114,55500,51000,4500,8.11
13,21,7.7447,1939500,1933500,6000,0.31
14,0,4.8169,1204500,1204500,0,0.00
14,1,19.7896,4950000,4950000,0,0.00
14,2,7.0331,1759500,1759500,0,0.00
14,3,22.8287,5707500,5707500,0,0.00
14,4,149.9261,37482000,37482000,0,0.00
14,5,2.5377,637500,636000,1500,0.24
14,6,7.7489,1939500,1938000,1500,0.08
14,7,0.7522,190500,190500,0,0.00
14,8,5.0068,1252500,1252500,0,0.00
14,9,10.7177,2680500,2679000,1500,0.06
14,10,0.1971,51000,49500,1500,2.94
14,11,0.7014,175500,37500,138000,78.63
14,12,0.2101,54000,52500,1500,2.78
14,13,2.3234,585000,583500,1500,0.26
14,15,0.4764,120000,117000,3000,2.50
14,16,64.8221,16207500,16204500,3000,0.02
14,17,0.6131,156000,112500,43500,27.88
14,18,141.0196,35257500,35254500,3000,0.01
14,19,9.6908,2424000,2419500,4500,0.19
14,20,0.7993,201000,198000,3000,1.49
14,21,10.8261,2707500,2706000,1500,0.06
15,0,780.3367,195088500,195082500,6000,0.00
15,1,46.7574,11692500,11691000,1500,0.01
15,2,667.0768,166771500,166770000,1500,0.00
15,4,414.3316,103585500,103584000,1500,0.00
15,5,66.3400,16587000,16587000,0,0.00
15,6,20.5174,5133000,5131500,1500,0.03
15,7,8.1724,2044500,2044500,0,0.00
15,8,7.3027,1828500,1827000,1500,0.08
15,9,128.7250,32184000,32178000,6000,0.02
15,10,1.4606,369000,363000,6000,1.63
15,11,64.1500,16042500,3471000,12571500,78.36
15,12,0.6740,171000,166500,4500,2.63
15,13,0.4258,111000,105000,6000,5.41
15,14,0.1265,33000,30000,3000,9.09
15,16,0.7635,193500,187500,6000,3.10
15,17,26.9211,6732000,6726000,6000,0.09
15,18,159.6877,39922500,39916500,6000,0.02
15,19,27.0946,6777000,6771000,6000,0.09
15,20,20.6274,5160000,5152500,7500,0.15
15,21,1021.6809,255423000,255412500,10500,0.00
16,0,13.9613,3492000,3492000,0,0.00
16,1,4.7441,1189500,1186500,3000,0.25
16,2,1.8224,459000,459000,0,0.00
16,4,26.0936,6523500,6523500,0,0.00
16,5,2.7606,693000,693000,0,0.00
16,6,1.6646,420000,420000,0,0.00
16,7,3.2722,822000,822000,0,0.00
16,8,1.5238,384000,382500,1500,0.39
16,9,41.9496,10489500,10488000,1500,0.01
16,10,0.2706,70500,64500,6000,8.51
16,11,0.4911,126000,24000,102000,80.95
16,12,1.1997,301500,298500,3000,1.00
16,13,0.0345,7500,4500,3000,40.00
16,14,67.8352,16960500,16956000,4500,0.03
16,15,4.6998,1176000,1171500,4500,0.38
16,17,2.2606,567000,561000,6000,1.06
16,18,45.0788,11271000,11269500,1500,0.01
16,19,8.2609,2068500,2064000,4500,0.22
16,21,6.4732,1618500,1617000,1500,0.09
17,0,2.6960,675000,675000,0,0.00
17,1,0.5989,151500,148500,3000,1.98
17,2,6.2824,1573500,1573500,0,0.00
17,4,29.7166,7431000,7431000,0,0.00
17,5,6.3622,1591500,1591500,0,0.00
17,6,1.6128,403500,403500,0,0.00
17,7,0.1063,25500,25500,0,0.00
17,8,0.4037,102000,100500,1500,1.47
17,9,4.9109,1228500,1228500,0,0.00
17,12,19.4713,4870500,4870500,0,0.00
17,14,1.9692,496500,472500,24000,4.83
17,15,0.8845,223500,222000,1500,0.67
17,16,0.8066,204000,198000,6000,2.94
17,18,692.9544,173242500,173230500,12000,0.01
17,19,0.9239,231000,226500,4500,1.95
17,21,58.2143,14553000,14548500,4500,0.03
18,0,24.6298,6157500,6157500,0,0.00
18,1,23.1207,5784000,5784000,0,0.00
18,2,187.0017,46753500,46752000,1500,0.00
18,3,77.1696,19293000,19293000,0,0.00
18,4,303.8594,75967500,75964500,3000,0.00
18,5,28.4115,7107000,7105500,1500,0.02
18,6,145.9127,36480000,36478500,1500,0.00
18,7,0.6088,154500,154500,0,0.00
18,8,1.8258,457500,457500,0,0.00
18,9,18.8654,4719000,4716000,3000,0.06
18,10,8.3642,2094000,2091000,3000,0.14
18,11,8.9339,2238000,603000,1635000,73.06
18,12,4.2367,1060500,1059000,1500,0.14
18,13,105.5789,26398500,26392500,6000,0.02
18,14,187.3710,46843500,46840500,3000,0.01
18,15,30.7999,7704000,7698000,6000,0.08
18,16,53.7119,13428000,13428000,0,0.00
18,17,355.7567,88942500,88935000,7500,0.01
18,19,61.7400,15436500,15432000,4500,0.03
18,20,2.5104,630000,624000,6000,0.95
18,21,138.4910,34623000,34621500,1500,0.00
19,0,1604.0583,401017500,401001000,16500,0.00
19,1,0.2492,64500,61500,3000,4.65
19,2,19.7408,4938000,4938000,0,0.00
19,4,271.6303,67909500,67908000,1500,0.00
19,5,0.2228,55500,54000,1500,2.70
19,6,0.4195,106500,105000,1500,1.41
19,7,0.1777,48000,46500,1500,3.12
19,8,2.2341,559500,559500,0,0.00
19,9,208.1330,52038000,52032000,6000,0.01
19,13,0.0292,7500,4500,3000,40.00
19,14,4.0095,1002000,1000500,1500,0.15
19,15,2.9236,733500,729000,4500,0.61
19,16,0.8044,201000,196500,4500,2.24
19,17,0.4946,126000,121500,4500,3.57
19,18,99.0274,24759000,24754500,4500,0.02
19,20,0.1701,45000,42000,3000,6.67
19,21,22.2167,5557500,5551500,6000,0.11
20,0,6.2706,1570500,1570500,0,0.00
20,2,1.7432,438000,436500,1500,0.34
20,4,2.1020,528000,528000,0,0.00
20,6,0.1486,40500,40500,0,0.00
20,9,17.4592,4365000,4365000,0,0.00
20,14,0.7913,201000,201000,0,0.00
20,15,0.5578,142500,142500,0,0.00
20,18,0.3547,91500,88500,3000,3.28
20,19,6.7687,1695000,1692000,3000,0.18
20,21,0.1154,30000,28500,1500,5.00
21,0,2.7487,688500,687000,1500,0.22
21,1,3.2638,817500,817500,0,0.00
21,2,47.7086,11926500,11926500,0,0.00
21,3,4.9367,1239000,1239000,0,0.00
21,4,186.5169,46633500,46632000,1500,0.00
21,5,117.4507,29364000,29364000,0,0.00
21,6,28.2246,7057500,7057500,0,0.00
21,7,4.1765,1048500,1048500,0,0.00
21,8,0.1784,45000,43500,1500,3.33
21,9,3.1898,799500,798000,1500,0.19
21,10,0.0214,6000,6000,0,0.00
21,11,5.9415,1488000,309000,1179000,79.23
21,12,1.3159,328500,328500,0,0.00
21,13,121.4069,30355500,30351000,4500,0.01
21,14,295.9318,73983000,73983000,0,0.00
21,15,32.8676,8218500,8218500,0,0.00
21,16,4.7203,1180500,1180500,0,0.00
21,17,225.2239,56307000,56304000,3000,0.01
21,18,719.7181,179928000,179926500,1500,0.00
21,19,2.3207,580500,579000,1500,0.26
21,20,0.0874,24000,24000,0,0.00
