src,dst,path_idx,path_hops,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,19,0,q_r1_r20,213751500,213744000,7500,0.00
0,19,1,q_r1_r10 | q_r10_r9 | q_r9_r20,51618000,51616500,1500,0.00
0,19,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,52495500,52492500,3000,0.01
0,19,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,13260000,13258500,1500,0.01
0,21,1,q_r1_r5 | q_r5_r19 | q_r19_r22,33000,31500,1500,4.55
0,21,2,q_r1_r3 | q_r3_r7 | q_r7_r22,76500,75000,1500,1.96
1,0,1,q_r2_r7 | q_r7_r3 | q_r3_r1,367500,367500,0,0.00
1,0,2,q_r2_r7 | q_r7_r5 | q_r5_r1,153000,153000,0,0.00
1,2,0,q_r2_r7 | q_r7_r3,327000,327000,0,0.00
1,2,3,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r3,7500,7500,0,0.00
1,3,0,q_r2_r15 | q_r15_r5 | q_r5_r4,22500,22500,0,0.00
1,3,1,q_r2_r7 | q_r7_r5 | q_r5_r4,700500,700500,0,0.00
1,4,0,q_r2_r15 | q_r15_r5,157500,157500,0,0.00
1,4,1,q_r2_r7 | q_r7_r5,4477500,4477500,0,0.00
1,5,0,q_r2_r7 | q_r7_r6,3000,3000,0,0.00
1,6,0,q_r2_r7,4660500,4660500,0,0.00
1,6,2,q_r2_r15 | q_r15_r5 | q_r5_r7,328500,328500,0,0.00
1,6,3,q_r2_r15 | q_r15_r22 | q_r22_r7,24000,24000,0,0.00
1,9,1,q_r2_r7 | q_r7_r3 | q_r3_r1 | q_r1_r10,768000,768000,0,0.00
1,9,2,q_r2_r7 | q_r7_r5 | q_r5_r1 | q_r1_r10,345000,345000,0,0.00
1,11,0,q_r2_r15 | q_r15_r12,63000,19500,43500,69.05
1,11,1,q_r2_r7 | q_r7_r22 | q_r22_r15 | q_r15_r12,7500,3000,4500,60.00
1,11,2,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r12,36000,6000,30000,83.33
1,11,3,q_r2_r7 | q_r7_r3 | q_r3_r13 | q_r13_r12,28500,7500,21000,73.68
1,12,1,q_r2_r7 | q_r7_r3 | q_r3_r13,8838000,8838000,0,0.00
1,12,2,q_r2_r15 | q_r15_r12 | q_r12_r13,153000,42000,111000,72.55
1,14,0,q_r2_r15,2719500,2719500,0,0.00
1,14,2,q_r2_r7 | q_r7_r5 | q_r5_r15,6000,6000,0,0.00
1,15,0,q_r2_r15 | q_r15_r22 | q_r22_r16,147000,147000,0,0.00
1,15,1,q_r2_r7 | q_r7_r22 | q_r22_r16,253500,252000,1500,0.59
1,16,1,q_r2_r7 | q_r7_r22 | q_r22_r19 | q_r19_r17,12000,12000,0,0.00
1,18,0,q_r2_r15 | q_r15_r5 | q_r5_r19,1413000,1413000,0,0.00
1,18,1,q_r2_r7 | q_r7_r22 | q_r22_r19,8400000,8400000,0,0.00
1,18,2,q_r2_r15 | q_r15_r22 | q_r22_r19,8281500,8281500,0,0.00
1,18,3,q_r2_r7 | q_r7_r5 | q_r5_r19,18730500,18729000,1500,0.01
1,19,0,q_r2_r15 | q_r15_r5 | q_r5_r1 | q_r1_r20,159000,157500,1500,0.94
1,19,1,q_r2_r7 | q_r7_r3 | q_r3_r1 | q_r1_r20,1267500,1266000,1500,0.12
1,19,2,q_r2_r7 | q_r7_r5 | q_r5_r1 | q_r1_r20,835500,834000,1500,0.18
1,19,3,q_r2_r15 | q_r15_r22 | q_r22_r16 | q_r16_r1 | q_r1_r20,4500,4500,0,0.00
1,20,0,q_r2_r15 | q_r15_r5 | q_r5_r4 | q_r4_r21,2625000,2625000,0,0.00
1,20,1,q_r2_r7 | q_r7_r5 | q_r5_r4 | q_r4_r21,8029500,8026500,3000,0.04
1,20,3,q_r2_r14 | q_r14_r7 | q_r7_r5 | q_r5_r4 | q_r4_r21,180000,180000,0,0.00
1,21,0,q_r2_r15 | q_r15_r22,987000,985500,1500,0.15
1,21,1,q_r2_r7 | q_r7_r22,2673000,2671500,1500,0.06
2,0,0,q_r3_r1,470944500,470940000,4500,0.00
2,0,1,q_r3_r13 | q_r13_r5 | q_r5_r1,121204500,121200000,4500,0.00
2,0,2,q_r3_r7 | q_r7_r5 | q_r5_r1,184080000,184075500,4500,0.00
2,0,3,q_r3_r13 | q_r13_r8 | q_r8_r5 | q_r5_r1,9847500,9847500,0,0.00
2,1,0,q_r3_r7 | q_r7_r2,207000,207000,0,0.00
2,1,2,q_r3_r13 | q_r13_r12 | q_r12_r15 | q_r15_r2,10500,1500,9000,85.71
2,1,3,q_r3_r7 | q_r7_r22 | q_r22_r15 | q_r15_r2,187500,187500,0,0.00
2,3,0,q_r3_r13 | q_r13_r5 | q_r5_r4,21000,21000,0,0.00
2,3,1,q_r3_r7 | q_r7_r5 | q_r5_r4,37500,37500,0,0.00
2,3,2,q_r3_r1 | q_r1_r5 | q_r5_r4,58500,58500,0,0.00
2,4,0,q_r3_r13 | q_r13_r5,88503000,88501500,1500,0.00
2,4,1,q_r3_r7 | q_r7_r5,118167000,118165500,1500,0.00
2,4,2,q_r3_r1 | q_r1_r5,156196500,156193500,3000,0.00
2,4,3,q_r3_r13 | q_r13_r8 | q_r8_r5,117000,117000,0,0.00
2,5,0,q_r3_r13 | q_r13_r6,346941000,346938000,3000,0.00
2,5,1,q_r3_r7 | q_r7_r6,405342000,405336000,6000,0.00
2,5,2,q_r3_r13 | q_r13_r5 | q_r5_r7 | q_r7_r6,88765500,88764000,1500,0.00
2,5,3,q_r3_r1 | q_r1_r5 | q_r5_r13 | q_r13_r6,65947500,65946000,1500,0.00
2,6,0,q_r3_r7,249414000,249412500,1500,0.00
2,6,1,q_r3_r13 | q_r13_r6 | q_r6_r7,8820000,8820000,0,0.00
2,6,2,q_r3_r1 | q_r1_r5 | q_r5_r7,27171000,27169500,1500,0.01
2,6,3,q_r3_r13 | q_r13_r5 | q_r5_r7,110247000,110245500,1500,0.00
2,7,0,q_r3_r13 | q_r13_r8,84000,84000,0,0.00
2,7,2,q_r3_r13 | q_r13_r5 | q_r5_r8,10500,10500,0,0.00
2,7,3,q_r3_r1 | q_r1_r5 | q_r5_r8,6000,6000,0,0.00
2,8,0,q_r3_r1 | q_r1_r20 | q_r20_r9,13500,13500,0,0.00
2,9,0,q_r3_r1 | q_r1_r10,7627500,7627500,0,0.00
2,9,1,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r10,27000,27000,0,0.00
2,9,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r10,72000,72000,0,0.00
2,10,0,q_r3_r13 | q_r13_r5 | q_r5_r11,4500,4500,0,0.00
2,10,1,q_r3_r7 | q_r7_r22 | q_r22_r11,9000,9000,0,0.00
2,10,2,q_r3_r1 | q_r1_r5 | q_r5_r11,15000,15000,0,0.00
2,10,3,q_r3_r7 | q_r7_r5 | q_r5_r11,24000,24000,0,0.00
2,11,0,q_r3_r13 | q_r13_r12,16500,4500,12000,72.73
2,11,1,q_r3_r7 | q_r7_r22 | q_r22_r15 | q_r15_r12,39000,12000,27000,69.23
2,11,2,q_r3_r13 | q_r13_r5 | q_r5_r15 | q_r15_r12,54000,13500,40500,75.00
2,11,3,q_r3_r1 | q_r1_r5 | q_r5_r13 | q_r13_r12,118500,19500,99000,83.54
2,12,0,q_r3_r13,207000,205500,1500,0.72
2,13,0,q_r3_r7 | q_r7_r14,46500,46500,0,0.00
2,13,1,q_r3_r7 | q_r7_r2 | q_r2_r14,31500,31500,0,0.00
2,13,2,q_r3_r13 | q_r13_r6 | q_r6_r7 | q_r7_r14,25500,24000,1500,5.88
2,13,3,q_r3_r13 | q_r13_r5 | q_r5_r7 | q_r7_r14,43500,42000,1500,3.45
2,14,0,q_r3_r13 | q_r13_r12 | q_r12_r15,7176000,1033500,6142500,85.60
2,14,1,q_r3_r7 | q_r7_r22 | q_r22_r15,139500,139500,0,0.00
2,14,2,q_r3_r13 | q_r13_r5 | q_r5_r15,20122500,20121000,1500,0.01
2,14,3,q_r3_r1 | q_r1_r5 | q_r5_r15,11547000,11547000,0,0.00
2,15,0,q_r3_r1 | q_r1_r16,331500,331500,0,0.00
2,15,1,q_r3_r7 | q_r7_r22 | q_r22_r16,199500,199500,0,0.00
2,15,2,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r16,229500,228000,1500,0.65
2,15,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r16,297000,295500,1500,0.51
2,17,0,q_r3_r13 | q_r13_r6 | q_r6_r18,11988000,11986500,1500,0.01
2,17,1,q_r3_r7 | q_r7_r22 | q_r22_r18,4930500,4929000,1500,0.03
2,17,2,q_r3_r7 | q_r7_r6 | q_r6_r18,3561000,3559500,1500,0.04
2,18,0,q_r3_r13 | q_r13_r5 | q_r5_r19,45616500,45613500,3000,0.01
2,18,1,q_r3_r7 | q_r7_r22 | q_r22_r19,67423500,67420500,3000,0.00
2,18,2,q_r3_r1 | q_r1_r5 | q_r5_r19,134811000,134809500,1500,0.00
2,18,3,q_r3_r7 | q_r7_r5 | q_r5_r19,133578000,133573500,4500,0.00
2,19,0,q_r3_r1 | q_r1_r20,52500,52500,0,0.00
2,19,1,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r20,55500,54000,1500,2.70
2,19,2,q_r3_r1 | q_r1_r10 | q_r10_r9 | q_r9_r20,217500,217500,0,0.00
2,19,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r20,54000,52500,1500,2.78
2,20,0,q_r3_r1 | q_r1_r10 | q_r10_r21,124500,123000,1500,1.20
2,20,1,q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21,21000,19500,1500,7.14
2,20,2,q_r3_r1 | q_r1_r5 | q_r5_r4 | q_r4_r21,24000,22500,1500,6.25
2,20,3,q_r3_r7 | q_r7_r5 | q_r5_r4 | q_r4_r21,78000,76500,1500,1.92
2,21,0,q_r3_r7 | q_r7_r22,3321000,3319500,1500,0.05
2,21,3,q_r3_r13 | q_r13_r12 | q_r12_r15 | q_r15_r22,75000,12000,63000,84.00
3,0,0,q_r4_r5 | q_r5_r1,6666000,6666000,0,0.00
3,0,2,q_r4_r5 | q_r5_r13 | q_r13_r3 | q_r3_r1,3000,1500,1500,50.00
3,0,3,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r1,363000,363000,0,0.00
3,1,0,q_r4_r5 | q_r5_r7 | q_r7_r2,16500,16500,0,0.00
3,1,1,q_r4_r5 | q_r5_r15 | q_r15_r2,21000,21000,0,0.00
3,2,0,q_r4_r5 | q_r5_r13 | q_r13_r3,4500,4500,0,0.00
3,2,1,q_r4_r5 | q_r5_r7 | q_r7_r3,24000,24000,0,0.00
3,2,2,q_r4_r5 | q_r5_r1 | q_r1_r3,88500,88500,0,0.00
3,4,0,q_r4_r5,6454500,6454500,0,0.00
3,5,0,q_r4_r5 | q_r5_r13 | q_r13_r6,202500,202500,0,0.00
3,5,1,q_r4_r5 | q_r5_r7 | q_r7_r6,49500,49500,0,0.00
3,5,3,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r7 | q_r7_r6,25500,25500,0,0.00
3,6,0,q_r4_r5 | q_r5_r7,44799000,44797500,1500,0.00
3,6,1,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r7,4140000,4140000,0,0.00
3,6,2,q_r4_r5 | q_r5_r13 | q_r13_r6 | q_r6_r7,13500,13500,0,0.00
3,6,3,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r7,124500,124500,0,0.00
3,8,0,q_r4_r21 | q_r21_r10 | q_r10_r9,4500,4500,0,0.00
3,8,1,q_r4_r5 | q_r5_r1 | q_r1_r20 | q_r20_r9,28500,28500,0,0.00
3,8,2,q_r4_r5 | q_r5_r1 | q_r1_r10 | q_r10_r9,10500,10500,0,0.00
3,9,0,q_r4_r21 | q_r21_r10,972000,972000,0,0.00
3,9,1,q_r4_r5 | q_r5_r1 | q_r1_r10,1146000,1146000,0,0.00
3,9,2,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r1 | q_r1_r10,97500,97500,0,0.00
3,10,0,q_r4_r5 | q_r5_r11,9000,7500,1500,16.67
3,14,0,q_r4_r5 | q_r5_r15,13354500,13353000,1500,0.01
3,14,1,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r15,97500,97500,0,0.00
3,14,2,q_r4_r5 | q_r5_r13 | q_r13_r12 | q_r12_r15,6000,0,6000,100.00
3,14,3,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r15,13500,13500,0,0.00
3,15,0,q_r4_r5 | q_r5_r1 | q_r1_r16,45000,43500,1500,3.33
3,15,1,q_r4_r21 | q_r21_r10 | q_r10_r1 | q_r1_r16,15000,15000,0,0.00
3,15,2,q_r4_r5 | q_r5_r19 | q_r19_r22 | q_r22_r16,210000,208500,1500,0.71
3,18,0,q_r4_r17 | q_r17_r19,318000,318000,0,0.00
3,18,1,q_r4_r5 | q_r5_r19,1777500,1776000,1500,0.08
3,18,2,q_r4_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,82500,81000,1500,1.82
3,19,0,q_r4_r5 | q_r5_r1 | q_r1_r20,1003500,1002000,1500,0.15
3,19,1,q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,27000,27000,0,0.00
3,19,2,q_r4_r21 | q_r21_r10 | q_r10_r1 | q_r1_r20,133500,132000,1500,1.12
3,19,3,q_r4_r5 | q_r5_r13 | q_r13_r3 | q_r3_r1 | q_r1_r20,331500,330000,1500,0.45
3,21,0,q_r4_r17 | q_r17_r19 | q_r19_r22,34500,34500,0,0.00
3,21,1,q_r4_r5 | q_r5_r19 | q_r19_r22,4500,3000,1500,33.33
3,21,3,q_r4_r5 | q_r5_r15 | q_r15_r22,48000,46500,1500,3.12
4,0,0,q_r5_r1,72600000,72600000,0,0.00
4,0,1,q_r5_r13 | q_r13_r3 | q_r3_r1,4500,4500,0,0.00
4,0,2,q_r5_r7 | q_r7_r3 | q_r3_r1,6000,6000,0,0.00
4,1,0,q_r5_r7 | q_r7_r2,3210000,3210000,0,0.00
4,1,1,q_r5_r15 | q_r15_r2,4111500,4111500,0,0.00
4,2,0,q_r5_r13 | q_r13_r3,381000,381000,0,0.00
4,2,1,q_r5_r7 | q_r7_r3,2887500,2887500,0,0.00
4,2,2,q_r5_r1 | q_r1_r3,12234000,12234000,0,0.00
4,3,0,q_r5_r4,52377000,52375500,1500,0.00
4,5,0,q_r5_r13 | q_r13_r6,37344000,37344000,0,0.00
4,5,1,q_r5_r7 | q_r7_r6,8640000,8640000,0,0.00
4,5,3,q_r5_r13 | q_r13_r3 | q_r3_r7 | q_r7_r6,15000,15000,0,0.00
4,6,0,q_r5_r7,24228000,24228000,0,0.00
4,6,3,q_r5_r13 | q_r13_r3 | q_r3_r7,553500,553500,0,0.00
4,7,0,q_r5_r8,18217500,18217500,0,0.00
4,7,1,q_r5_r13 | q_r13_r8,8991000,8991000,0,0.00
4,8,0,q_r5_r1 | q_r1_r20 | q_r20_r9,351000,351000,0,0.00
4,8,1,q_r5_r1 | q_r1_r10 | q_r10_r9,114000,114000,0,0.00
4,8,2,q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,84000,84000,0,0.00
4,8,3,q_r5_r13 | q_r13_r3 | q_r3_r1 | q_r1_r20 | q_r20_r9,15000,15000,0,0.00
4,9,0,q_r5_r1 | q_r1_r10,9640500,9640500,0,0.00
4,9,1,q_r5_r4 | q_r4_r21 | q_r21_r10,5998500,5998500,0,0.00
4,9,3,q_r5_r13 | q_r13_r3 | q_r3_r1 | q_r1_r10,3000,1500,1500,50.00
4,10,0,q_r5_r11,732000,732000,0,0.00
4,10,1,q_r5_r19 | q_r19_r22 | q_r22_r11,42000,42000,0,0.00
4,11,0,q_r5_r13 | q_r13_r12,33993000,6519000,27474000,80.82
4,11,1,q_r5_r15 | q_r15_r12,34800000,14070000,20730000,59.57
4,11,2,q_r5_r8 | q_r8_r13 | q_r13_r12,495000,82500,412500,83.33
4,11,3,q_r5_r19 | q_r19_r22 | q_r22_r15 | q_r15_r12,919500,279000,640500,69.66
4,12,0,q_r5_r13,12262500,12262500,0,0.00
4,13,0,q_r5_r7 | q_r7_r14,139500,139500,0,0.00
4,13,1,q_r5_r15 | q_r15_r2 | q_r2_r14,52500,52500,0,0.00
4,13,2,q_r5_r7 | q_r7_r2 | q_r2_r14,30000,30000,0,0.00
4,14,0,q_r5_r15,92310000,92310000,0,0.00
4,14,1,q_r5_r13 | q_r13_r12 | q_r12_r15,9000,3000,6000,66.67
4,14,3,q_r5_r7 | q_r7_r22 | q_r22_r15,247500,247500,0,0.00
4,15,0,q_r5_r1 | q_r1_r16,1882500,1882500,0,0.00
4,15,1,q_r5_r19 | q_r19_r22 | q_r22_r16,8152500,8152500,0,0.00
4,15,2,q_r5_r7 | q_r7_r22 | q_r22_r16,432000,430500,1500,0.35
4,15,3,q_r5_r15 | q_r15_r22 | q_r22_r16,1909500,1909500,0,0.00
4,16,0,q_r5_r19 | q_r19_r17,147000,147000,0,0.00
4,16,1,q_r5_r4 | q_r4_r17,51000,51000,0,0.00
4,16,2,q_r5_r7 | q_r7_r22 | q_r22_r19 | q_r19_r17,18000,18000,0,0.00
4,17,0,q_r5_r13 | q_r13_r6 | q_r6_r18,1576500,1576500,0,0.00
4,17,1,q_r5_r19 | q_r19_r22 | q_r22_r18,124500,124500,0,0.00
4,17,2,q_r5_r7 | q_r7_r22 | q_r22_r18,2935500,2935500,0,0.00
4,17,3,q_r5_r15 | q_r15_r22 | q_r22_r18,15000,15000,0,0.00
4,18,0,q_r5_r19,122950500,122950500,0,0.00
4,18,1,q_r5_r7 | q_r7_r22 | q_r22_r19,4498500,4498500,0,0.00
4,18,2,q_r5_r15 | q_r15_r22 | q_r22_r19,18474000,18474000,0,0.00
4,18,3,q_r5_r4 | q_r4_r17 | q_r17_r19,124500,124500,0,0.00
4,19,0,q_r5_r1 | q_r1_r20,68740500,68737500,3000,0.00
4,19,1,q_r5_r13 | q_r13_r3 | q_r3_r1 | q_r1_r20,7078500,7078500,0,0.00
4,19,2,q_r5_r1 | q_r1_r10 | q_r10_r9 | q_r9_r20,67623000,67620000,3000,0.00
4,19,3,q_r5_r7 | q_r7_r3 | q_r3_r1 | q_r1_r20,2797500,2796000,1500,0.05
4,20,0,q_r5_r4 | q_r4_r21,3795000,3795000,0,0.00
4,20,1,q_r5_r1 | q_r1_r10 | q_r10_r21,87000,87000,0,0.00
4,21,0,q_r5_r19 | q_r19_r22,13366500,13365000,1500,0.01
4,21,1,q_r5_r7 | q_r7_r22,727500,726000,1500,0.21
4,21,2,q_r5_r15 | q_r15_r22,19495500,19495500,0,0.00
4,21,3,q_r5_r11 | q_r11_r22,873000,873000,0,0.00
5,0,0,q_r6_r13 | q_r13_r5 | q_r5_r1,471000,469500,1500,0.32
5,0,1,q_r6_r7 | q_r7_r3 | q_r3_r1,625500,625500,0,0.00
5,0,2,q_r6_r13 | q_r13_r3 | q_r3_r1,4846500,4846500,0,0.00
5,0,3,q_r6_r7 | q_r7_r5 | q_r5_r1,1662000,1660500,1500,0.09
5,1,0,q_r6_r7 | q_r7_r2,147000,147000,0,0.00
5,1,3,q_r6_r7 | q_r7_r22 | q_r22_r15 | q_r15_r2,15000,15000,0,0.00
5,2,0,q_r6_r13 | q_r13_r3,2943000,2943000,0,0.00
5,2,1,q_r6_r7 | q_r7_r3,10537500,10537500,0,0.00
5,3,0,q_r6_r13 | q_r13_r5 | q_r5_r4,303000,303000,0,0.00
5,3,1,q_r6_r7 | q_r7_r5 | q_r5_r4,82500,82500,0,0.00
5,3,3,q_r6_r13 | q_r13_r5 | q_r5_r19 | q_r19_r17 | q_r17_r4,4500,4500,0,0.00
5,4,0,q_r6_r13 | q_r13_r5,26605500,26605500,0,0.00
5,4,1,q_r6_r7 | q_r7_r5,6838500,6838500,0,0.00
5,4,3,q_r6_r18 | q_r18_r22 | q_r22_r19 | q_r19_r5,93000,93000,0,0.00
5,6,0,q_r6_r7,3417000,3417000,0,0.00
5,7,0,q_r6_r13 | q_r13_r8,2067000,2067000,0,0.00
5,8,0,q_r6_r13 | q_r13_r5 | q_r5_r1 | q_r1_r20 | q_r20_r9,36000,36000,0,0.00
5,8,1,q_r6_r7 | q_r7_r3 | q_r3_r1 | q_r1_r20 | q_r20_r9,37500,37500,0,0.00
5,8,2,q_r6_r13 | q_r13_r3 | q_r3_r1 | q_r1_r20 | q_r20_r9,31500,30000,1500,4.76
5,9,0,q_r6_r13 | q_r13_r5 | q_r5_r1 | q_r1_r10,75000,73500,1500,2.00
5,9,1,q_r6_r7 | q_r7_r3 | q_r3_r1 | q_r1_r10,96000,96000,0,0.00
5,9,2,q_r6_r13 | q_r13_r3 | q_r3_r1 | q_r1_r10,1072500,1072500,0,0.00
5,9,3,q_r6_r7 | q_r7_r5 | q_r5_r1 | q_r1_r10,376500,376500,0,0.00
5,10,2,q_r6_r7 | q_r7_r22 | q_r22_r11,7500,7500,0,0.00
5,11,0,q_r6_r13 | q_r13_r12,55500,3000,52500,94.59
5,11,1,q_r6_r18 | q_r18_r22 | q_r22_r15 | q_r15_r12,18000,7500,10500,58.33
5,11,2,q_r6_r13 | q_r13_r5 | q_r5_r15 | q_r15_r12,112500,31500,81000,72.00
5,12,0,q_r6_r13,1678500,1678500,0,0.00
5,13,0,q_r6_r7 | q_r7_r14,190500,190500,0,0.00
5,13,1,q_r6_r7 | q_r7_r2 | q_r2_r14,120000,120000,0,0.00
5,13,2,q_r6_r18 | q_r18_r22 | q_r22_r7 | q_r7_r14,3000,3000,0,0.00
5,14,0,q_r6_r18 | q_r18_r22 | q_r22_r15,817500,817500,0,0.00
5,14,1,q_r6_r13 | q_r13_r12 | q_r12_r15,487500,66000,421500,86.46
5,14,2,q_r6_r7 | q_r7_r22 | q_r22_r15,1701000,1701000,0,0.00
5,14,3,q_r6_r13 | q_r13_r5 | q_r5_r15,31500,30000,1500,4.76
5,15,0,q_r6_r18 | q_r18_r22 | q_r22_r16,1236000,1236000,0,0.00
5,15,1,q_r6_r7 | q_r7_r22 | q_r22_r16,144000,142500,1500,1.04
5,16,0,q_r6_r18 | q_r18_r22 | q_r22_r19 | q_r19_r17,28500,28500,0,0.00
5,16,2,q_r6_r7 | q_r7_r22 | q_r22_r19 | q_r19_r17,106500,105000,1500,1.41
5,16,3,q_r6_r13 | q_r13_r5 | q_r5_r4 | q_r4_r17,4500,3000,1500,33.33
5,17,0,q_r6_r18,702000,702000,0,0.00
5,17,1,q_r6_r7 | q_r7_r22 | q_r22_r18,19500,18000,1500,7.69
5,18,0,q_r6_r18 | q_r18_r22 | q_r22_r19,51000,51000,0,0.00
5,18,1,q_r6_r13 | q_r13_r5 | q_r5_r19,79500,78000,1500,1.89
5,18,2,q_r6_r7 | q_r7_r22 | q_r22_r19,1590000,1588500,1500,0.09
5,19,0,q_r6_r13 | q_r13_r5 | q_r5_r1 | q_r1_r20,78000,76500,1500,1.92
5,19,1,q_r6_r7 | q_r7_r3 | q_r3_r1 | q_r1_r20,12000,10500,1500,12.50
5,19,2,q_r6_r13 | q_r13_r3 | q_r3_r1 | q_r1_r20,192000,190500,1500,0.78
5,19,3,q_r6_r7 | q_r7_r5 | q_r5_r1 | q_r1_r20,160500,159000,1500,0.93
5,20,0,q_r6_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21,48000,46500,1500,3.12
5,20,1,q_r6_r7 | q_r7_r5 | q_r5_r4 | q_r4_r21,15000,13500,1500,10.00
5,20,3,q_r6_r7 | q_r7_r3 | q_r3_r1 | q_r1_r10 | q_r10_r21,6000,4500,1500,25.00
5,21,0,q_r6_r18 | q_r18_r22,4875000,4875000,0,0.00
6,0,0,q_r7_r3 | q_r3_r1,166500,166500,0,0.00
6,0,1,q_r7_r5 | q_r5_r1,1596000,1594500,1500,0.09
6,1,0,q_r7_r2,1111500,1111500,0,0.00
6,1,2,q_r7_r22 | q_r22_r15 | q_r15_r2,21000,21000,0,0.00
6,1,3,q_r7_r5 | q_r5_r15 | q_r15_r2,15000,15000,0,0.00
6,2,0,q_r7_r3,6468000,6468000,0,0.00
