src,dst,sent_bytes,delivered_bytes,loss_bytes,loss_pct
7,11,151500,25500,126000,83.17
7,12,1924500,1921500,3000,0.16
7,14,3102000,1533000,1569000,50.58
7,15,1600500,1594500,6000,0.37
7,16,189000,183000,6000,3.17
7,17,696000,690000,6000,0.86
7,18,23542500,23536500,6000,0.03
7,19,2175000,2169000,6000,0.28
7,20,217500,211500,6000,2.76
7,21,88611000,88605000,6000,0.01
8,0,298983000,298971000,12000,0.00
8,1,87000,85500,1500,1.72
8,2,1882500,1881000,1500,0.08
8,4,33994500,33991500,3000,0.01
8,6,72000,70500,1500,2.08
8,7,24000,22500,1500,6.25
8,9,75027000,75027000,0,0.00
8,14,589500,586500,3000,0.51
8,15,435000,430500,4500,1.03
8,17,27000,24000,3000,11.11
8,18,13543500,13537500,6000,0.04
8,19,1722000,1719000,3000,0.17
8,20,24000,19500,4500,18.75
8,21,97500,94500,3000,3.08
9,0,763015500,763008000,7500,0.00
9,1,316500,316500,0,0.00
9,2,5920500,5920500,0,0.00
9,4,100183500,100182000,1500,0.00
9,5,148500,148500,0,0.00
9,6,703500,703500,0,0.00
9,7,112500,108000,4500,4.00
9,8,76794000,76789500,4500,0.01
9,10,99000,96000,3000,3.03
9,11,21000,7500,13500,64.29
9,13,52500,49500,3000,5.71
9,14,3918000,3916500,1500,0.04
9,15,2185500,2181000,4500,0.21
9,16,49500,45000,4500,9.09
9,17,310500,306000,4500,1.45
9,18,15979500,15978000,1500,0.01
9,19,2452500,2448000,4500,0.18
9,20,3480000,3477000,3000,0.09
9,21,238500,235500,3000,1.26
10,0,106500,106500,0,0.00
10,2,160500,160500,0,0.00
10,3,621000,621000,0,0.00
10,4,1087500,1087500,0,0.00
10,5,49500,49500,0,0.00
10,6,271500,271500,0,0.00
10,7,67500,67500,0,0.00
10,8,22500,21000,1500,6.67
10,9,597000,595500,1500,0.25
10,14,2743500,2734500,9000,0.33
10,15,132000,132000,0,0.00
10,16,2124000,2121000,3000,0.14
10,18,7947000,7944000,3000,0.04
10,19,652500,646500,6000,0.92
10,20,298500,294000,4500,1.51
10,21,19500,18000,1500,7.69
11,0,2784000,2662500,121500,4.36
11,1,43500,31500,12000,27.59
11,2,739500,549000,190500,25.76
11,4,63372000,49659000,13713000,21.64
11,5,262500,166500,96000,36.57
11,6,241500,160500,81000,33.54
11,7,42000,34500,7500,17.86
11,9,874500,834000,40500,4.63
11,12,1951500,1386000,565500,28.98
11,14,442500,315000,127500,28.81
11,15,658500,456000,202500,30.75
11,18,772500,550500,222000,28.74
11,21,2403000,2007000,396000,16.48
12,0,11847000,11847000,0,0.00
12,1,2014500,2005500,9000,0.45
12,2,5065500,5065500,0,0.00
12,3,129000,129000,0,0.00
12,4,55477500,55468500,9000,0.02
12,5,1684500,1684500,0,0.00
12,6,2121000,2121000,0,0.00
12,7,201000,201000,0,0.00
12,8,52500,52500,0,0.00
12,9,1209000,1209000,0,0.00
12,10,16500,16500,0,0.00
12,11,208500,52500,156000,74.82
12,13,33000,33000,0,0.00
12,14,39928500,6549000,33379500,83.60
12,15,1543500,1542000,1500,0.10
12,16,15000,12000,3000,20.00
12,17,340500,333000,7500,2.20
12,18,9844500,9828000,16500,0.17
12,19,4443000,4440000,3000,0.07
12,20,187500,184500,3000,1.60
12,21,4542000,4150500,391500,8.62
13,0,109500,109500,0,0.00
13,2,427500,427500,0,0.00
13,4,19078500,19078500,0,0.00
13,5,136500,135000,1500,1.10
13,6,57000,57000,0,0.00
13,9,76500,76500,0,0.00
13,14,96000,96000,0,0.00
13,15,63000,61500,1500,2.38
13,16,7500,7500,0,0.00
13,18,259500,259500,0,0.00
13,19,199500,196500,3000,1.50
13,21,1059000,1056000,3000,0.28
14,0,936000,936000,0,0.00
14,1,8811000,8811000,0,0.00
14,2,2136000,2136000,0,0.00
14,3,795000,795000,0,0.00
14,4,36804000,36804000,0,0.00
14,5,781500,781500,0,0.00
14,6,523500,523500,0,0.00
14,7,829500,829500,0,0.00
14,8,349500,348000,1500,0.43
14,9,2553000,2553000,0,0.00
14,10,52500,51000,1500,2.86
14,11,106500,25500,81000,76.06
14,12,274500,273000,1500,0.55
14,13,1528500,1527000,1500,0.10
14,16,3994500,3991500,3000,0.08
14,17,28500,22500,6000,21.05
14,18,15702000,15699000,3000,0.02
14,19,540000,535500,4500,0.83
14,20,994500,991500,3000,0.30
14,21,4561500,4561500,0,0.00
15,0,110313000,110311500,1500,0.00
15,1,9741000,9739500,1500,0.02
15,2,116076000,116073000,3000,0.00
15,4,73876500,73876500,0,0.00
15,5,12900000,12898500,1500,0.01
15,6,5466000,5464500,1500,0.03
15,7,2017500,2017500,0,0.00
15,8,1575000,1572000,3000,0.19
15,9,25389000,25381500,7500,0.03
15,10,10758000,10752000,6000,0.06
15,11,8226000,2043000,6183000,75.16
15,12,46500,42000,4500,9.68
15,13,27000,22500,4500,16.67
15,14,13500,10500,3000,22.22
15,16,328500,322500,6000,1.83
15,17,3823500,3817500,6000,0.16
15,18,34689000,34683000,6000,0.02
15,19,6025500,6019500,6000,0.10
15,20,4815000,4809000,6000,0.12
15,21,222271500,222262500,9000,0.00
16,0,1867500,1867500,0,0.00
16,1,120000,115500,4500,3.75
16,2,193500,193500,0,0.00
16,4,7849500,7849500,0,0.00
16,5,504000,504000,0,0.00
16,6,568500,568500,0,0.00
16,7,1230000,1230000,0,0.00
16,8,307500,306000,1500,0.49
16,9,4531500,4531500,0,0.00
16,10,40500,36000,4500,11.11
16,11,9000,1500,7500,83.33
16,12,196500,193500,3000,1.53
16,14,6427500,6423000,4500,0.07
16,15,1014000,1009500,4500,0.44
16,17,390000,384000,6000,1.54
16,18,11791500,11790000,1500,0.01
16,19,2664000,2659500,4500,0.17
16,21,1851000,1849500,1500,0.08
17,0,810000,808500,1500,0.19
17,2,1662000,1662000,0,0.00
17,4,6736500,6736500,0,0.00
17,5,1245000,1245000,0,0.00
17,6,27000,27000,0,0.00
17,7,21000,21000,0,0.00
17,8,294000,292500,1500,0.51
17,9,880500,880500,0,0.00
17,12,3765000,3763500,1500,0.04
17,14,585000,559500,25500,4.36
17,15,469500,469500,0,0.00
17,16,111000,108000,3000,2.70
17,18,182914500,182904000,10500,0.01
17,19,78000,73500,4500,5.77
17,21,15607500,15603000,4500,0.03
18,0,3534000,3532500,1500,0.04
18,1,3118500,3118500,0,0.00
18,2,36573000,36571500,1500,0.00
18,3,5730000,5730000,0,0.00
18,4,122241000,122239500,1500,0.00
18,5,13186500,13186500,0,0.00
18,6,43137000,43134000,3000,0.01
18,7,144000,142500,1500,1.04
18,8,322500,322500,0,0.00
18,9,2812500,2811000,1500,0.05
18,10,1864500,1861500,3000,0.16
18,11,486000,153000,333000,68.52
18,12,262500,261000,1500,0.57
18,13,26179500,26175000,4500,0.02
18,14,23818500,23817000,1500,0.01
18,15,9915000,9909000,6000,0.06
18,16,8268000,8268000,0,0.00
18,17,83142000,83134500,7500,0.01
18,19,11187000,11182500,4500,0.04
18,20,238500,232500,6000,2.52
18,21,29226000,29224500,1500,0.01
19,0,375297000,375282000,15000,0.00
19,1,67500,64500,3000,4.44
19,2,4036500,4036500,0,0.00
19,4,63163500,63162000,1500,0.00
19,5,153000,151500,1500,0.98
19,6,261000,261000,0,0.00
19,7,55500,51000,4500,8.11
19,8,190500,190500,0,0.00
19,9,44998500,44994000,4500,0.01
19,10,10500,7500,3000,28.57
19,13,27000,24000,3000,11.11
19,14,999000,996000,3000,0.30
19,15,595500,591000,4500,0.76
19,16,6000,4500,1500,25.00
19,18,21070500,21066000,4500,0.02
19,20,79500,76500,3000,3.77
19,21,5956500,5950500,6000,0.10
20,0,1336500,1336500,0,0.00
20,1,294000,294000,0,0.00
20,2,439500,439500,0,0.00
20,4,1570500,1570500,0,0.00
20,6,51000,51000,0,0.00
20,9,1479000,1479000,0,0.00
20,10,10500,10500,0,0.00
20,14,418500,417000,1500,0.36
20,15,60000,58500,1500,2.50
20,17,7500,7500,0,0.00
20,18,40500,36000,4500,11.11
20,19,1696500,1692000,4500,0.27
20,21,109500,108000,1500,1.37
21,0,757500,756000,1500,0.20
21,1,2650500,2650500,0,0.00
21,2,8293500,8293500,0,0.00
21,3,294000,294000,0,0.00
21,4,17289000,17289000,0,0.00
21,5,1033500,1033500,0,0.00
21,6,16677000,16677000,0,0.00
21,7,2878500,2878500,0,0.00
21,8,319500,319500,0,0.00
21,9,1021500,1021500,0,0.00
21,11,427500,88500,339000,79.30
21,12,133500,133500,0,0.00
21,13,23637000,23635500,1500,0.01
21,14,75502500,75501000,1500,0.00
21,15,12247500,12247500,0,0.00
21,16,1654500,1654500,0,0.00
21,17,51082500,51081000,1500,0.00
21,18,159882000,159882000,0,0.00
21,19,829500,829500,0,0.00
21,20,382500,379500,3000,0.78
